RISK DOMAIN,DUE DILIGENCE OF SERVICE PROVIDER   ,GUIDANCE ON EVIDENCE REQUEST BUT NOT LIMITED TO,SERVICE PROVIDER RESPONSE,SERVICE PROVIDER COMMENTS,REVIEW BY TPRM ON COMMENTS/ RESPONSES PROVIDED BY SERVICE PROVIDER ,CONTROL EFFECTIVENESS LEVEL ,EFFECTIVENESS RATING,DOMAIN SCORE,DOMAIN RATING,,,,,,,,,,,,,,,,,Yes
,Does your company have a documented internal control environment and risk management practice?,"Please share the operational risk assessment procedure to identify and assess threats and vulnerabilities in a timely manner and to the extent possible, prevent them from affecting critical operations delivery. ",Yes,"Yes, Fuze has a well-documented internal control environment and a comprehensive risk management framework aligned with regulatory expectations and global best practices.   Fuze’s operational risk assessment procedure is grounded in the Operational Risk Management Policy, which reflects Fuze’s commitment to a systematic, dynamic, and comprehensive approach to managing operational risks.   The policy outlines a multi-faceted framework designed to identify, assess, manage, and mitigate operational risks. It ensures that risks are addressed proactively to maintain operational resilience and service excellence.  To reduce the likelihood of operational risk incidents and limit their potential impact, we have implemented a range of robust measures and controls. These include: - Advanced security systems to protect digital assets and prevent unauthorized access - The use of blockchain analytics tools such as Chainalysis to monitor transactions and detect suspicious activities - Audits and inspections are conducted to ensure compliance with internal standards and regulatory requirements - Clear segregation of duties and strong access controls to prevent fraud and misuse of assets.   To ensure business continuity in the event of a disruption, we maintain comprehensive data backup and disaster recovery plans.  In addition to preventive controls, we have a clearly defined incident management and response process to minimize the impact of any operational risk event and to prevent recurrence. All employees are required to report any incidents they observe or become aware of immediately. Once reported, the Head of Risk, together with relevant departments, will investigate the incident to determine its root cause and assess its impact. Based on the findings, mitigation actions will be implemented to address the issue and prevent similar incidents in the future.  ",,,0,,,,,,,,,,,,,,,,,,,
,Do you have a documented business continuity and disaster recovery plan?,Please share copy of Business Continuity policy/framework,Yes,"Yes, Fuze maintains a documented and regularly tested Business Continuity Plan (BCP) and Disaster Recovery Plan (DRP) to ensure the continuity of critical services and minimize operational disruptions.",,,0,,,,,,,,,,,,,,,,,,,
,Is this plan tested and updated at least annually?,Please share copy of Business Continuity policy/framework,Yes,"Yes, Fuze’s Business Continuity Plan (BCP) and Disaster Recovery Plan (DRP) are tested and updated at least annually. In addition to the annual review, we conduct quarterly disaster recovery tests to ensure the effectiveness and readiness of our systems and procedures.  These exercises validate our recovery capabilities, simulate real-world failure scenarios, and help identify any areas of improvement. Following each test, results are documented, reviewed by senior management, and incorporated into our continuous improvement process.  This disciplined approach ensures that our resilience strategies remain aligned with evolving business needs, regulatory requirements, and industry best practices.",,,0,,,,,,,,,,,,,,,,,,,
,Is there an alternative arrangement in place to account for unavailability of key vendors your organization relies on to provide services to Mashreq. ,Please share copy of Business Continuity policy/framework,Yes,"Yes, Fuze has alternative arrangements in place to mitigate the risk of unavailability of key vendors critical to service delivery. This includes:  Vendor Redundancy: Where feasible, Fuze maintains multiple providers for critical services such as custody, travel rule compliance, and KYT/AML monitoring. Our modular architecture allows for rapid switching between providers with minimal disruption.  Exit and Substitution Clauses: All key vendor contracts include provisions for continuity, including exit and substitution clauses to enable swift transition in the event of vendor failure.  Business Continuity Integration: Third-party risk is integrated into our Business Continuity Plan, and critical vendors are subject to periodic risk assessments and contingency planning.  Technical Flexibility: Our platform supports a plug-and-play model, allowing alternative vendors or services to be onboarded quickly to ensure uninterrupted service.  These measures ensure that Mashreq’s services are not adversely impacted in the event of third-party disruptions.",,,0,,,,,,,,,,,,,,,,,,,
,Are critical third parties of your organization included in Business Continuity and Disaster Recovery testing?,Please share copy of Business Continuity policy/framework,Yes,"Yes, critical third parties are included in our Business Continuity and Disaster Recovery testing, as explicitly outlined in the scope of applicability within our policy, and periodic testing and validation exercises are conducted to ensure the effectiveness of recovery procedures.",,,0,,,,,,,,,,,,,,,,,,,
,Do you have mechanism for Handling Customer Grievances?,,Yes,"Yes, Fuze has a documented and structured mechanism for handling customer grievances. Our grievance redressal process is designed to ensure that all customer concerns are acknowledged, investigated, and resolved in a timely and transparent manner. Key components include:  Dedicated Support Channels: Customers can raise concerns through email, phone, or our in-app support system. Each grievance is logged and tracked through a centralized case management system.  Acknowledgement and Response SLAs: Grievances are acknowledged within 24 hours, with resolution timelines governed by pre-defined service level agreements (SLAs) based on severity and complexity.  Escalation Matrix: An escalation framework is in place to ensure unresolved issues are promptly addressed by senior management.  Root Cause Analysis and Continuous Improvement: We conduct root cause analysis for critical complaints and integrate findings into our product and process improvement cycles.  Regulatory Compliance: Our grievance mechanism complies with the guidelines issued by regulatory authorities such as VARA and ensures customer protection in line with industry best practices.  This structured approach helps us maintain a high standard of customer satisfaction and accountability.",,,0,,,,,,,,,,,,,,,,,,,
,Do you have a documented process for issue escalation and resolution?,Please share documented process for issue escalation and resolution,Yes,"Yes, Fuze has a clearly defined and documented process for issue escalation and resolution to ensure timely handling of operational, technical, or service-related matters.  Key elements of the process include:  Tiered Escalation Levels: Issues are categorized by severity and are escalated through a structured hierarchy—starting from frontline support to functional heads and, if required, to executive management.  Defined SLAs: Each escalation tier is governed by predefined Service Level Agreements (SLAs) to ensure timely acknowledgment, response, and resolution.  Incident Logging & Tracking: All issues are logged in our internal case management system for tracking, accountability, and audit purposes.  Cross-Functional Coordination: For complex issues, cross-functional teams are engaged to facilitate root cause analysis and rapid resolution.  Regular Reviews and Reporting: Issue trends and resolution performance are reviewed periodically by senior management to improve system and process robustness.  This structured escalation framework ensures transparency, accountability, and prompt resolution of issues in line with best practices and regulatory expectations.",,,0,,,,,,,,,,,,,,,,,,,
,"Does your organization implemented a policy and supporting security measures to protect personal information accessed, processed, or stored at teleworking sites? ",,Yes,"Yes, Fuze is committed to ensuring the security and privacy of personal information, including when accessed, processed, or stored at teleworking sites. As a broker-dealer regulated by the Virtual Asset Regulatory Authority (VARA), we adhere to the Federal Decree-Law No. 45 of 2021 on the Protection of Personal Data (PDPL 2021) and relevant VARA regulations. Our Data Protection Policy outlines the comprehensive measures in place to secure personal data in line with these legal obligations.  To protect personal data from unauthorized access, disclosure, alteration, or destruction, we implement robust technical and organizational security controls. This includes: - encrypted connections for remote access - endpoint protection - secure data storage environments  Access to personal data is strictly limited to authorized personnel on a need-to-know basis, and employees are regularly trained on data privacy and security practices to reinforce our commitment to safeguarding client information.  Data stored at teleworking sites is subject to the same security standards as on-premise environments, with regular backups created to prevent data loss.  In addition, our technology governance and risk assessment framework is designed to comply, to the extent applicable, with relevant cybersecurity laws, regulatory requirements, and industry guidelines. This includes compliance with the electronic security standards adopted by the Dubai Electronic Security Center under Dubai Law No. 9 of 2022 regulating the provision of digital services in Dubai. We also ensure adherence to Federal-Decree Law No. 45 of 2021 on the Protection of Personal Data and its executive regulations, as well as any cybersecurity mandates issued by the Federal Data Office. Furthermore, our practices align with the Consumer Protection Regulation issued pursuant to Central Bank Notice No. 444 of 2021, and any additional cybersecurity requirements as may be introduced by the Central Bank of the UAE.  Fuze has appointed a Data Protection Officer (DPO) to oversee the implementation of the Data Protection Policy, ensure compliance with the PDPL 2021 and act as a primary point of contact for data subjects and relevant authorities regarding data protection matters.",,,0,,,,,,,,,,,,,,,,,,,
,Do you perform background verification for new hires (on-roll and third-party employees)?,Please share Background Verification (BGV) process and sample BGV Verification ,Yes,"Yes, Fuze performs comprehensive background verification for all new hires, including both on-roll employees and third-party contractors.  The verification process includes: - Identity Verification - Educational Qualification Check - Employment History Validation - Criminal Record Check (where permitted by law) - Sanctions and Watchlist Screening  These checks are conducted either in-house or via a certified background verification agency and are aligned with local labor laws and industry best practices. Verification results are documented and retained as part of the employee onboarding records.",,,0,,,,,,,,,,,,,,,,,,,
,Has your company been involved in any pending or actual termination proceedings with other parties?,,No,Fuze does not have any contentious termination proceedings with any of its partners and clients.,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATEGIC,Does your company possess the required technical capabilities for the services being outsourced?,Please share detailed case studies and examples of similar projects completed. List the technology tools and platforms used for delivering services. Please share feedback or testimonials from clients on technical capabilities ensuring client identitites are anonymized.,Yes,"Yes, Fuze possesses the technical capabilities required to deliver the services being outsourced. We are a regulated and licensed Virtual Asset Service Provider (VASP) in Dubai with a deep focus on secure infrastructure, API-first architecture, and regulatory-grade compliance. Below is a detailed overview of our technical credentials, experience, and tools:  1. Case Studies and Project Examples Case Study A – Tier-1 UAE Bank (Retail Crypto Investment Platform): Fuze powers the digital asset investment platform for a leading UAE retail bank, enabling users to access crypto seamlessly through their banking app. Scope Included:  Seamless KYC-reliant onboarding via Fuze APIs  Fiat-to-crypto trade execution with best-price routing  Secure custody  Live price feeds and portfolio management  FuzeOS for program control  Advanced controls for risk management  Over 300 virtual assets  Launch completed in less than 6 months, driving 25% of new sign-ups to digital assets  99.999% uptime   Case Study B – UAE Bank (Shariya Compliant): Fuze built and launched a fully shariya compliant closed-loop infrastructure for crypto investment. Scope Included:  Regulatory coordination with VARA and CBUAE  Shariya board approval  Closed-loop model to eliminate risk  Fully API-driven, allowing future expansion into tokenized assets  2. Technology Tools and Platforms Fuze operates a modular and scalable platform built on best-in-class infrastructure:  Infrastructure: AWS (me-central-1) — scalable, secure, and compliant with UAE data residency regulations  Custody: Fireblocks (multi-party computation-based custody), with support for additional providers  Compliance: Chainalysis (KYT & transaction monitoring), Notabene (Travel Rule), Elliptic  Core Architecture: Microservices-based event-driven Pub/Sub architecture  APIs: REST & WebSocket for real-time order management and trade execution  Databases: PostgreSQL, DynamoDB, InfluxDB for timeseries data  Security: End-to-end encryption, MFA, SIEM, IDS/IPS, RBAC  SOR/OEMS: Proprietary Smart Order Router and Order Execution Management System ensuring best execution across venues  3. Client Feedback & Testimonials (Anonymized) “Fuze’s tech stack was the most robust and well-documented among the vendors we evaluated. Their modular APIs made integration straightforward and their support was proactive throughout.” — UAE Regulated Bank, Digital Channels Head  “The speed with which Fuze was able to launch the platform while maintaining compliance and security was exceptional. — CEO of UAE Bank ",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,Is the strategic importance of this engagement significant in supporting the Bank's objectives?,,Yes,"Yes, the strategic importance of this engagement is significant in supporting the Bank’s objectives.  Fuze plays a critical role in enabling secure, compliant, and scalable access to digital assets — a key innovation pillar for forward-looking banks. By partnering with Fuze, the Bank can accelerate its digital transformation strategy, expand its offerings in virtual assets, and meet the evolving demands of both retail and institutional customers. This collaboration directly supports the Bank’s objectives around:  Customer Experience & Retention: Offering modern, compliant digital asset services within existing banking channels.  Revenue Diversification: Opening new income streams through crypto trading, custody, and investment products.  Regulatory Confidence: Leveraging Fuze’s VARA license and compliant-by-design infrastructure to de-risk innovation.  Operational Efficiency: Reducing time-to-market and technology overhead via Fuze’s modular, API-first architecture.  In summary, this engagement aligns with and advances the Bank’s mission to remain at the forefront of financial innovation while maintaining the highest standards of risk and regulatory compliance.",,,0,,,,,,,,,,,,,,,,,,,
,Is this engagement type unique within the market?,,No,"No, this engagement type is not unique within the market.  However, what differentiates Fuze is the depth of integration, regulatory alignment, and breadth of capabilities offered through a single platform. While other providers may offer components such as custody or trading, Fuze delivers a comprehensive, end-to-end solution covering onboarding (KYC reliance), pricing (SOR + OEMS), custody (multi-party, multi-region), and compliance (Travel Rule, KYT, AML) — all within a secure and scalable infrastructure licensed under VARA.  This combination ensures that while the engagement model itself may be familiar, the execution and value Fuze delivers are meaningfully differentiated in the regional market.",,,0,,,,,,,,,,,,,,,,,,,
,Would the service delivered directly impacts or supports key strategic initiatives of Bank ?,,Yes,"Yes, the service delivered by Fuze directly impacts and supports key strategic initiatives of the Bank.  By integrating digital asset infrastructure into the Bank’s ecosystem, Fuze enables the Bank to:  Expand Digital Offerings: Introduce regulated virtual asset services such as trading, custody, and investment products.  Strengthen Customer Engagement: Attract and retain a younger, tech-savvy demographic increasingly seeking access to crypto and tokenized assets.  Accelerate Innovation: Position the Bank as a forward-looking institution at the forefront of financial technology.  Ensure Regulatory Compliance: Operate within a fully licensed and compliant framework under VARA, reducing regulatory risk while innovating.  Enhance Operational Resilience: Leverage Fuze’s secure, scalable infrastructure and robust APIs to minimize time-to-market and enhance service delivery.  This alignment ensures that the partnership with Fuze supports the Bank’s long-term growth, competitiveness, and digital transformation objectives.",,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CONTRACTOR,Would  you subcontract any part of the service?,Please attach list containing the names and description of these service providers.,Yes,"Yes, Fuze works with industry-leading service providers to fulfill various parts of the broker-dealer service offered.  A. Custody - Hot and cold wallet infrastructure Fireblocks - Hot wallet custody technology infrastructure and the first to achieve a Cryptocurrency Security Standard (CCSS) Qualified Service Provider Level 3 certification by the Cryptocurrency Certification Consortium (C4)                                                                  HexTrust - Leading hot and cold wallet institutional custodian licensed by VARA Tungsten - UAE-based cold wallet institutional custodian licensed by FSRA  B. Onboarding and Screening  Refinitiv Worldcheck - Sanctions screening tool by the London Stock Exchange Group  Comply Advantage - API-first sanctions screening service Sumsub - Document and identity verification service   C. On-chain compliance  Chainalysis: World’s leading on-chain compliance and investigation provider.   D. Travel Rule  Notabene: Travel rule network to enable seamless originator-beneficiary data transfers between VASPs HexTrust - Hot and cold wallet institutional custodian licensed by VARA Tungsten - Cold wallet institutional custodian licensed by FSRA ",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,Does your contract with subcontractors covers the standard requirements at minimum: i. Cyber Security and Data Privacy Requirements  ii. Communication protocols  iii. Exception handling procedures  iv. Service level requirements v. NDA/ Confidentiality agreement,,Yes,"Yes, Fuze carries out a comprehensive Vendor Due Diligence as a part of its Vendor Onboarding Process, in line with regulatory requirements. Every Vendor declares detailed data around different aspects of its overall offering, covering security and privacy postures, SLAs, regulatory details and communication protocols. These details are stored and made available to regulators on demand. A detailed Outsourcing Policy lays out all the procedures and verifications carried out by Fuze. ",,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSTAINABILITY,"Does your organization have an established sustainability program or procedure approved by the management which includes Environmental, Social, and Corporate Governance (ESG)?"," Sustainability program or procedure approved by the management which includes Environmental, Social, and Corporate Governance (ESG",No,"During the licensing process, VARA had exempted Morpheus Software Technology FZE from ESG reporting, therefore, this is not applicable",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,Does your organization take steps to manage and mitigate the effects of climate-related risks and opportunities within its operations and supply chain?,,Yes,"Yes, our organization actively manages and mitigates climate-related risks and opportunities across our operations and supply chain through sustainable practices and responsible sourcing.",,,0,,,,,,,,,,,,,,,,,,,
,Does your organization have a history of facing any legal or regulatory actions or fines related to climate issues?,,No,"No, our organization has no history of facing any legal or regulatory actions, fines, or investigations related to climate or environmental issues.",,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,OVERALL RATING,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
