SL NO,Parameters,Fuze,,Vendor2,,Vendor3,,Vendor4,,,,,,,,,,,,,,,,,
,,Yes / No,Comments,Yes / No,Comments,Yes / No,Comments,Yes / No,Comments,,,,,,,,,,,,,,,,
1.0,"Program Support - Training, Manuals and Communication",Yes,"Fuze offers a comprehensive support framework to ensure that Mashreq’s team can effectively utilize the platform’s capabilities. This includes training, user manuals, and consistent communication to facilitate smooth onboarding, ongoing use, and troubleshooting. Below are the key components of the program support provided by Fuze:  1. Training Programs Fuze provides a structured training program tailored to Mashreq’s specific needs, ensuring that all users—from technical teams to business users—are proficient in using the platform.  Key Elements: Onboarding Training:  Fuze will deliver comprehensive onboarding training sessions for Mashreq’s internal teams, covering the platform’s architecture, functionalities, APIs, and usage scenarios.  Onboarding sessions will be customized to address specific roles within Mashreq, ensuring that business users and technical teams receive targeted training.  Role-Based Training:  Technical Training: For IT and development teams, focusing on platform integration, customization, API usage, and system architecture.  Business User Training: For end-users involved in transaction management, reporting, and daily operational functions, ensuring they can navigate the system efficiently.  Ongoing Training:  Fuze offers periodic refresher courses and advanced training sessions as the platform evolves. These sessions will focus on new features, updates, and best practices.  Mashreq’s team will have access to webinars, workshops, and self-paced online courses.  Train-the-Trainer:  For Mashreq’s internal trainers, Fuze will provide advanced training to help them deliver in-house training programs to new users.  2. User Manuals and Documentation Fuze provides detailed user manuals and documentation to ensure that Mashreq’s team can effectively operate and troubleshoot the system.  Key Elements: Comprehensive User Guides:  Step-by-step manuals for different functionalities of the platform, such as onboarding, transaction processing, reporting, and integration with other systems.  Detailed API documentation and usage examples for developers.  Quick Start Guides:  Easy-to-understand guides to help Mashreq’s team quickly get up and running with key features of the platform.  System Architecture Documentation:  Detailed technical documentation on Fuze’s system architecture, APIs, and integration protocols, enabling Mashreq’s technical teams to easily integrate with the platform.  Release Notes and Feature Documentation:  Regular updates on new features, system enhancements, and bug fixes will be documented and shared with Mashreq’s team.  Troubleshooting Guides:  Fuze provides an extensive troubleshooting guide for common issues, enabling Mashreq’s support teams to resolve problems quickly.  3. Communication and Support Channels Clear, consistent communication channels will be established to ensure that Mashreq can easily access the support they need.  Key Elements: Support Team:  Fuze provides Mashreq with a support team that can be contacted through email, phone, or support portal with SLA's.  For critical issues, priority escalation will ensure rapid response and resolution.  Service Desk:  Fuze offers a centralized service desk for Mashreq’s team to report issues, request enhancements, and ask questions. The service desk will track all requests and provide real-time updates on resolution status.  Knowledge Base:  Fuze provides a centralized knowledge base with frequently asked questions, troubleshooting steps, best practices, and detailed platform documentation. This knowledge base will be continuously updated with new content based on feedback and platform updates.  User Forums and Community: Fuze will also organize annual user conferences and webinars to keep Mashreq informed about the latest developments in the platform.  4. Ongoing Communication Fuze ensures continuous communication to keep Mashreq informed about updates, system changes, and any potential impacts.  Key Elements: Release Notifications:  Fuze will notify Mashreq ahead of any major updates or system changes, ensuring that they are prepared for any new functionality or adjustments to the platform.  Feature Roadmap:  Fuze will provide Mashreq with access to a feature roadmap that outlines upcoming enhancements and planned system changes. This will help Mashreq plan for future updates and ensure alignment with business goals.  Post-Implementation Reviews:  After deployment, Fuze will conduct post-implementation reviews with Mashreq to evaluate the success of the integration, identify areas for improvement, and ensure that training and resources are being fully utilized.  5. Feedback and Continuous Improvement Fuze values Mashreq’s input and will actively seek feedback to enhance the platform and user experience.  Key Elements: Surveys and Feedback Loops:  Regular surveys will be conducted to gather feedback on training, platform usability, and overall satisfaction.  User Group Sessions:  Fuze will host user group sessions for Mashreq’s team to discuss platform usage, share best practices, and gather insights on any challenges faced.  Enhancement Requests:  Mashreq’s team can submit requests for platform enhancements, and Fuze will evaluate and prioritize these requests based on feasibility and alignment with the platform’s roadmap.  By providing structured training, comprehensive manuals, and clear communication, Fuze ensures that Mashreq’s team is well-equipped to maximize the value of the platform, while also maintaining continuous support and feedback loops for ongoing improvement.",,,,,,,,,,,,,,,,,,,,,,
2.0,Clarity in the Warranty from Vendor,Yes,"Fuze provides SLAs on our APIs, services, and response times",,,,,,,,,,,,,,,,,,,,,,
3.0,Is Delivery Timelines are aligned with Mashreq needs?,Yes,"The typical delivery timeline for the Fuze solution varies depending on the complexity of the integration and the specific requirements of the project. On average, for a comprehensive deployment, the timeline can range from 8 to 12 weeks, covering the following key phases:  Gap Analyisis & Agreement (2-3 weeks):  Initial Setup and Configuration (2-3 weeks): Platform setup and initial configuration. Integration with core systems and APIs.  Customization and Development (3-4 weeks): Customization to align with Mashreq’s specific needs. Development of any required workflows or connectors.  Testing and Validation (2-3 weeks): Extensive testing to ensure functionality, security, and performance. User acceptance testing (UAT) with Mashreq.  Deployment and Go-Live (1-2 weeks): Final deployment of the solution.  Monitoring and post-deployment support.  Fuze is flexible and can align its delivery timelines with Mashreq's specific needs, based on mutual evaluation and project scope. We will work closely with Mashreq’s teams to adjust the timeline to ensure that all critical milestones are met and that the solution is delivered on schedule.",,,,,,,,,,,,,,,,,,,,,,
4.0,Reachability/Availability of Local Support,Yes,"Fuze offers robust local support to ensure seamless operations.  Local Account Manager: A dedicated account manager will be available to Mashreq for ongoing relationship management and support.  Fuze’s local presence and support structures are designed to ensure continuous, efficient, and responsive assistance to Mashreq.",,,,,,,,,,,,,,,,,,,,,,
5.0,Annual Maintenance Contract (AMC) model,Yes,"Fuze offers an Annual Maintenance Contract (AMC) model designed to ensure the ongoing health, performance, and reliability of the platform. The AMC includes the following key features:  Regular System Updates and Patches:  Fuze will provide regular software updates, security patches, and bug fixes to keep the system secure and up to date with the latest enhancements.  Technical Support:  Access to technical support to address any issues that may arise. Support can be provided remotely or on-site as required.  System Monitoring:  Continuous monitoring of the platform to ensure optimal performance. Fuze will proactively address any system inefficiencies or potential issues before they impact operations.  Token Migration:  Support token migration  Performance Optimization: Periodic performance assessments and optimization recommendations to ensure that the platform meets evolving business requirements.  Training and Knowledge Transfer:  Fuze will provide periodic training sessions to ensure that Mashreq’s team is well-equipped to use and maintain the platform effectively. This can include training on new features and best practices.  Service Level Agreement (SLA):  The AMC will include clear SLAs detailing response times, resolution times, and escalation procedures for all types of issues. Priority levels will be established based on the urgency of the issue.  Disaster Recovery and Backup Support:  Regular testing and validation of disaster recovery processes, ensuring that backups are performed correctly and that the system can be restored in case of a failure.  Compliance Reporting: STR and other regulatory reportings.  The AMC is designed to provide peace of mind by ensuring that the platform is always operating efficiently, securely, and in alignment with Mashreq’s evolving business needs.",,,,,,,,,,,,,,,,,,,,,,
6.0,Community of users and availability of resources for the platform,Yes,"Yes, Fuze provides community resources",,,,,,,,,,,,,,,,,,,,,,
7.0,Service Level Agreements,Yes,"Service Level Agreements (SLAs) for Fuze Platform Fuze offers a comprehensive Service Level Agreement (SLA) to ensure that Mashreq receives high-quality service and operational support. The SLA defines clear expectations regarding the platform’s uptime, performance, and support response times. Below are the key components of Fuze's SLA:  1. Availability and Uptime Platform Uptime Guarantee: Fuze guarantees a platform uptime of 99.9% per month, excluding scheduled maintenance and force majeure events. This ensures that Mashreq’s operations will experience minimal downtime.  Service Outages: In case of any unplanned outages or disruptions, Fuze commits to resolving critical issues within the following timeframes:  Severity 1 (Critical Issues): Response time within 1 hour, resolution within 4 hours.  Severity 2 (High Impact Issues): Response time within 4 hours, resolution within 12 hours.  Severity 3 (Medium Impact Issues): Response time within 12 hours, resolution within 24 hours.  Severity 4 (Low Impact Issues): Response time within 24 hours, resolution within 48 hours.  2. Performance and Scalability Scalable Performance: Fuze ensures that the platform can scale according to Mashreq’s evolving business needs. The platform architecture is designed for horizontal scalability, which allows seamless handling of increased transaction volumes or traffic spikes.  Response Times: Fuze will ensure that the system maintains optimal response times for key business processes:  Transaction Response Time: Less than 1 second for 95% of transactions under normal operating conditions.  API Response Time: Less than 500 ms for 95% of API calls.  3. Data Security and Compliance Data Protection: Fuze complies with global data protection regulations, including GDPR, UAE PDPL, and other applicable regional laws, ensuring that Mashreq’s data is always handled securely.  Encryption: All data is encrypted in transit (TLS 1.2 or higher) and at rest (AES-256 encryption).  Regulatory Audits: Fuze guarantees compliance with regulatory requirements such as VARA, SCA, and other financial industry regulations relevant to Mashreq's operations.  Incident Management: In case of any data breach or security incident, Fuze will notify Mashreq within 24 hours and work with them to mitigate the issue in compliance with regulatory timelines.  4. Support Response and Resolution Times 24/7 Support Availability: Mashreq will have access to Fuze’s global support team, available 24/7 to address any platform-related concerns.  Critical Incident Support: For critical issues that affect Mashreq’s business continuity, priority escalation procedures will ensure the fastest possible resolution.  5. Scheduled Maintenance and Downtime Planned Maintenance: Fuze will notify Mashreq at least 48 hours in advance of any planned maintenance that may impact platform availability.  Maintenance Window: Maintenance will typically occur during off-peak hours (local time) to minimize disruption to Mashreq’s business operations. Any unplanned downtime or system upgrades outside the scheduled window will be communicated immediately.  6. Escalation Procedures Escalation Paths: Fuze provides clear escalation paths for Mashreq in case of unresolved issues. The escalation procedure includes:  Level 1: Support team for initial troubleshooting and resolution.  Level 2: Technical experts for more complex issues.  Level 3: Senior management for critical or unresolved issues.  Response Time: All escalations will receive an initial response within 30 minutes, and high-priority cases will be prioritized based on impact.  7. Reporting and Monitoring Real-Time Monitoring: Fuze’s proprietary dashboard, FuzeOS, provides real-time visibility into platform performance, including uptime, transaction volume, and response times.  Monthly Performance Reports: Fuze will provide Mashreq with monthly reports that outline platform performance metrics, SLA adherence, and any incidents or outages that occurred during the month.  Compliance Reports: Fuze will also provide compliance and audit reports to assist Mashreq with regulatory obligations.  Penalties for SLA Breaches In the event that Fuze fails to meet the terms outlined in the SLA, the following penalties will apply:  Uptime SLA Breach: If the platform uptime falls below 99.9%, Fuze will provide Mashreq with a credit equivalent to 5% of the monthly service fee for each 0.1% below the SLA threshold.  Response Time Breach: If Fuze fails to meet the defined response times for critical or high-impact issues, a credit will be applied to the monthly service fee, calculated based on the severity and duration of the breach.  Fuze’s SLA ensures that Mashreq will receive high-quality service with minimal disruption, while also providing clear, actionable support and transparency in the event of issues or outages. The SLA terms can be further customized based on Mashreq's specific requirements during contract negotiations.",,,,,,,,,,,,,,,,,,,,,,
E,VENDOR PARTNER CREDENTIALS,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Market presence and credentials,Yes,"Fuze Finance, proudly headquartered in the UAE, is a leading financial institution committed to transforming the fintech landscape with a regulatory-first approach, technological innovation, and world-class enterprise solutions. With expertise in blockchain-based products and payment solutions, Fuze empowers banks with seamless, secure, and cost-effective financial systems. Our mission aligns with delivering excellence and innovation tailored to the dynamic needs of prominent institutions, making us a trusted partner for large-scale financial ecosystems.  Key Highlights: Live customers: Fuze was the first company to go live with Wio Securities to launch the Digital Asset Trading Platform in full alignement with all local regulators (VARA, CB, and SCA) ADCB has selected Fuze to power, regulated, crypto trading for all ADCB Customers (TBA) Fully Shariah Compliant: Fuze is also the first company to launch trading with an islamic bank (Ruya) - who's trading platform has been accredited as Shariah compliant. It has been covered by prestiguous publications: NASDAQ, and Islamic Finance News  Regulatory Leadership: Fuze Finance stands out as a regulatory leader in the UAE’s fintech landscape, having achieved several key milestones: Secured a full VARA Broker-Dealer license, enabling comprehensive Broker-Dealer and Incidental Custody services Also obtained license from FSRA/ADGM, Central Bank of UAE for Retail Payment Services and Card Schemes (RPSCS - Category 3). Additionally, Fuze is the only Virtual Asset Service Provider (VASP) in the UAE with alignment and a No Objection Certificate (NOC) from SCA.  This unique position allows regulated entities to offer crypto services without needing to obtain their own license, further solidifying Fuze’s role as a trusted enabler in the digital asset ecosystem.  Global Aspirations: Rooted in the UAE, Fuze is actively expanding its global footprint. With a Canadian Money Services Business (MSB) license registered with FINTRAC, and registration with Capital Markets Board of Turkey, Fuze is leveraging its expertise to serve a growing international clientele and establish a robust presence in key global markets.  Awards in Q1 2025 alone: Awarded at AIM Congress Deloitte Technology Fast 50 Blockchain Infrastructure Provider of the Year  Core Expertise: Fuze possesses deep expertise in blockchain-based products, enabling banks to launch advanced brokerage solutions with world-class features such as smart order routing for best execution, seamless multi-asset trading, and real-time settlement capabilities. Fuze has established robust technology partnerships with globally renowned companies to deliver liquidity provisioning, custody solutions, transaction monitoring, compliance with the travel rule, and advanced fraud detection systems. With security as a cornerstone of its operations, Fuze is ISO-certified and audited by the UAE’s National Electronic Security Authority (NESA), achieving a flawless track record with zero incidents to date. This commitment to innovation, reliability, and compliance ensures Fuze sets new benchmarks for excellence in financial operations. Leadership Excellence: Led by CEO Mo Ali Yusuf, a seasoned executive with a strong background at Visa, Fuze benefits from strategic insights and a visionary approach. The leadership team also includes COO Arpit Mehta, a seasoned founder who successfully exited his previous startup and played a pivotal role in building and scaling ClearTax and Simpl, two of India’s largest fintechs. Complementing this is CTO Srijan Shetty, an ex-Goldman Sachs technologist who has developed advanced deep-tech tools for trading and financial operations.  Fuze’s team is handpicked from a diverse pool of global talent, bringing expertise from some of the world’s most renowned companies. This carefully curated team provides Fuze with a strategic advantage and deep domain expertise, ensuring the delivery of innovative and industry-leading solutions. Together, the leadership and team embody Fuze’s commitment to excellence and innovation in the fintech space.  Fuze Finance stands at the forefront of the fintech revolution, combining innovation and regulatory compliance to deliver exceptional value to its clients and partners globally.   Fuze Finance took birth in the region and announced a record breaking seed funding of $14m, the largest of its kind of a digital asset infrastructure startup in the region. In April 2025 Fuze announced its Series A round of $12.2m led by E& and Galaxy showing a strong and stable financial position    ",,,,,,,,,,,,,,,,,,,,,,
2.0,Demonstrate or verifiable Case Studies in Middle East regions,Yes,"Wio Securities:  Fuze was the first company to go live with Wio Securities to launch the Digital Asset Trading Platform in full alignement with VARA, CB, and SCA. Fuze and Wio. 1 out of 4 customers signing up on Wio, does so to access virtual asset trading through Fuze. Despite volatile markets, customers have continued to onboard and trade and volume on only the Wio platform is greater than all local exchanges combined. Wio executives have expressed enthusiasm for Fuze both in private and on public channels, and we continue to develop addtional features for Wio and other partners.    Ruya Bank: In Q1, Fuze became the digital asset infrastructure partner for Ruya, one of the world’s largest Islamic banks-powering Sharia-compliant Bitcoin trading. This is a global first: Ruya is now the first Islamic bank in the world to offer its customers access to virtual assets like Bitcoin - directly from within its own banking app-while adhering to Islamic finance principles. This breakthrough doesn’t just validate our platform-it opens up a new frontier for Fuze within the $4.5 trillion global Islamic finance market. As demand grows for ethical, Shariah-compliant investment solutions, Fuze is uniquely positioned to serve the next wave of digital asset adoption across the Muslim world.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
